food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g
"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,3.37,4.96,0.08,42.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",56.0,3.95,5.49,1.98,59.0,0.0
"MILK,CND,EVAP,W/ VIT A",134.0,6.81,10.04,7.56,106.0,0.0
"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",362.0,36.16,51.98,0.77,535.0,0.0
"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",358.0,35.1,52.19,0.72,549.0,0.0
"CHEESE,GOAT,HARD TYPE",452.0,30.52,2.17,35.59,346.0,0.0
"CHEESE,GOAT,SEMISOFT TYPE",364.0,21.58,2.54,29.84,515.0,0.0
"CHEESE,GOAT,SOFT TYPE",268.0,18.52,0.89,21.08,368.0,0.0
"EGG,YOLK,RAW,FRZ,SALTED",274.0,14.0,1.6,23.0,3780.0,0.0
"CHEESE SUB,MOZZARELLA",248.0,11.47,23.67,12.22,685.0,0.0
CHEESE FONDUE,229.0,14.23,3.77,13.47,132.0,0.0
"CHEESE SAU,PREP FROM RECIPE",197.0,10.33,5.48,14.92,493.0,0.0
"CHEESE,MEXICAN,QUESO ANEJO",373.0,21.44,4.63,29.98,1131.0,0.0
"CHEESE,MEXICAN,QUESO ASADERO",356.0,22.6,2.87,28.26,655.0,0.0
"CHEESE,MEXICAN,QUESO CHIHUAHUA",374.0,21.56,5.56,29.68,617.0,0.0
"CHEESE,LOFAT,CHEDDAR OR COLBY",173.0,24.35,1.91,7.0,612.0,0.0
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",398.0,24.35,1.91,32.62,21.0,0.0
"EGG,WHOLE,RAW,FROZEN",148.0,11.95,1.05,10.2,133.0,0.0
"EGG,WHITE,RAW,FROZEN",47.0,9.8,1.05,0.0,158.0,0.0
"EGG,WHITE,DRIED",382.0,81.1,7.8,0.0,1280.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",50.0,3.3,4.8,1.98,47.0,0.0
"MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",42.0,3.37,4.99,0.97,44.0,0.0
"SOUR CREAM,REDUCED FAT",181.0,7.0,7.0,14.1,70.0,0.0
"SOUR CREAM,LIGHT",138.0,3.5,7.1,10.6,71.0,0.0
"SOUR CREAM,FAT FREE",74.0,3.1,15.6,0.0,141.0,0.0
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282.0,27.2,2.0,18.3,725.0,0.0
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",43.0,3.86,7.5,0.18,59.0,0.0
"PARMESAN CHS TOPPING,FAT FREE",370.0,40.0,40.0,5.0,1150.0,0.0
"CHEESE,CREAM,FAT FREE",105.0,15.69,7.66,1.0,702.0,0.0
"YOGURT,CHOC,NONFAT MILK",112.0,3.53,23.53,0.0,135.0,0.0
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276.0,12.0,9.2,21.0,1638.0,0.0
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215.0,16.3,16.2,9.5,1705.0,0.0
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,148.0,22.7,11.7,1.0,1298.0,0.0
KRAFT VELVEETA PAST PROCESS CHS SPRD,303.0,16.3,9.8,22.0,1499.0,0.0
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,222.0,19.6,11.8,10.6,1586.0,0.0
KRAFT BREAKSTONE'S RED FAT SOUR CRM,152.0,4.5,6.5,12.0,59.0,0.0
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,91.0,4.7,15.1,1.3,72.0,0.0
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),96.0,3.8,18.2,0.8,52.0,0.0
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),108.0,3.2,21.9,0.8,45.0,0.0
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),102.0,3.8,19.9,0.9,55.0,0.0
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),55.0,3.4,9.9,0.2,45.0,0.0
"CREAM,HALF & HALF,FAT FREE",59.0,2.6,9.0,1.4,100.0,0.0
REDDI WIP FAT FREE WHIPPED TOPPING,149.0,3.0,25.0,5.0,72.0,0.0
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",78.0,2.99,12.13,1.9,66.0,0.0
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",105.0,4.86,18.6,1.41,58.0,0.0
"CHEESE,PARMESAN,DRY GRATED,RED FAT",265.0,20.0,1.37,20.0,1529.0,0.0
"CREAM SUB,FLAV,LIQ",251.0,0.69,35.07,13.5,80.0,0.0
"CREAM SUB,FLAV,PDR",498.0,0.68,75.42,21.47,196.0,0.0
"CHEESE,PROVOLONE,RED FAT",274.0,24.7,3.5,17.6,876.0,0.0
"CHEESE,MEXICAN,BLEND,RED FAT",282.0,24.69,3.41,19.4,776.0,0.0
"EGG MIX,USDA CMDTY",555.0,35.6,23.97,34.5,576.0,0.0
"MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",61.0,3.15,4.78,3.27,43.0,0.0
"MILK,DRY,WHL,WO/ ADDED VITAMIN D",496.0,26.32,38.42,26.71,371.0,0.0
"MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D",135.0,6.81,10.04,7.56,106.0,0.0
"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",240.0,17.6,10.6,14.1,1587.0,0.0
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",99.0,3.98,18.64,1.15,53.0,0.0
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",102.0,4.37,19.05,1.08,58.0,0.0
"YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",95.0,4.4,19.0,0.2,58.0,0.0
"YOGURT,FRUIT,LOWFAT,W/ LO CAL SWTNR,FORT W/ VITAMIN D",105.0,4.86,18.6,1.41,58.0,0.0
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D",85.0,4.93,13.8,1.25,66.0,0.0
"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",43.0,3.86,7.5,0.18,59.0,0.0
"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",112.0,3.53,23.53,0.0,135.0,0.0
"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",411.0,45.71,18.5,17.14,329.0,0.0
"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR",396.0,50.0,22.0,12.0,250.0,0.0
