food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g
"CARBONATED BEV,COLA,CONTAINS CAFFEINE",37.0,0.07,9.56,0.02,4.0,0.0
"FRUIT PUNCH JUC DRK,FRZ CONC",175.0,0.3,43.1,0.7,10.0,0.0
"FRUIT PUNCH JUC DRK,FRZ CONC,PREP W/H2O",42.0,0.07,10.44,0.17,5.0,0.0
"ORANGE-FLAVOR DRK,BRKFST TYPE,PDR",386.0,0.0,98.94,0.0,17.0,0.0
"ORANGE-FLAVOR DRK,BRKFST TYPE,PDR,PREP W/ H2O",49.0,0.0,12.65,0.0,5.0,0.0
"ORANGE-FLAVOR DRK,BRKFST TYPE,LO CAL,PDR",217.0,3.6,85.9,0.0,81.0,0.0
"WATER,TAP,DRINKING",0.0,0.0,0.0,0.0,4.0,0.0
"WATER,TAP,WELL",0.0,0.0,0.0,0.0,5.0,0.0
"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",326.0,0.1,46.8,0.3,8.0,0.0
"ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF",327.0,2.8,20.9,15.7,92.0,0.0
"CARB BEV,LO CAL,COLA OR PEP,W/ ASPRT, CAF",2.0,0.11,0.29,0.03,8.0,0.0
"COFFEE SUB,CRL GRAIN BEV,PDR,PREP W/ WHL MILK",65.0,3.3,5.6,3.3,49.0,0.0
"DAIRY DRK MIX,CHOC,RED CAL,W/ LOW-CALORIE SWEETENERS,PDR",329.0,25.0,51.4,2.6,659.0,0.0
"DAIRY DRK MIX,CHOC,RED CAL,W/ ASPRT,PDR,PREP W/ H2O & ICE",29.0,2.19,4.51,0.23,61.0,0.0
"ORANGE-FLAVOR DRK,BRKFST TYPE,W/PULP,FRZ CONC",172.0,0.1,42.9,0.5,24.0,0.0
"ORANGE-FLAVOR DRK,BRKFST TYPE,W/PULP,FRZ CONC,PREP W/H2O",49.0,0.03,12.21,0.14,10.0,0.0
"ORANGE DRK,BRKFST TYPE,W/ JUC & PULP,FRZ CONC",153.0,0.4,39.0,0.0,26.0,0.0
"ORANGE DRK,BRKFST TYPE,W/JUC&PULP,FRZ CONC,PREP W/H2O",45.0,0.12,11.32,0.0,10.0,0.0
"SHAKE,FAST FD,STRAWBERRY",113.0,3.4,18.9,2.8,83.0,0.0
"WATER,TAP,MUNICIPAL",0.0,0.0,0.0,0.0,3.0,0.0
"CRANBERRY JUC COCKTAIL,FRZ CONC",201.0,0.05,51.45,0.0,4.0,0.0
"CRANBERRY JUC COCKTAIL,FRZ CONC,PREP W/ H2O",47.0,0.01,11.81,0.0,4.0,0.0
"WATER,BTLD,NON-CARBONATED,DANNON",0.0,0.0,0.0,0.0,0.0,0.0
"WATER,BTLD,NON-CARBONATED,PEPSI,AQUAFINA",0.0,0.0,0.0,0.0,0.0,0.0
"WATER,BTLD,NON-CARBONATED,DASANI",0.0,0.0,0.0,0.0,0.0,0.0
"ORANGE BRKFST DRK,RTD,W/ ADDED NUTR",53.0,0.0,13.2,0.0,54.0,0.0
"WATER,BTLD,NON-CARBONATED,CALISTOGA",0.0,0.0,0.0,0.0,0.0,0.0
"WATER,BTLD,NON-CARBONATED,CRYSTAL GEYSER",0.0,0.0,0.0,0.0,1.0,0.0
"WATER,BTLD,NON-CARBONATED,NAYA",0.0,0.0,0.0,0.0,1.0,0.0
"WATER,BTLD,NON-CARBONATED,DANNON FLUORIDE TO GO",0.0,0.0,0.03,0.0,1.0,0.0
"DRINK MIX,QUAKER OATS,GATORADE,ORANGE FLAVOR,PDR",388.0,0.0,94.11,1.23,63.0,0.0
"SPORTS DRK,PEPSICO,GATORADE,FRUIT-FLAVORED,RTD",26.0,0.0,6.43,0.0,39.0,0.0
"SPORTS DRK,COCA-COLA,POWERADE,LEMON-LIME FLAV,RTD",32.0,0.0,7.84,0.05,22.0,0.0
"QUAKER OATS,PROPEL FITNESS H2O,FRUIT-FLAVORED,NON-CARBONATED",5.0,0.0,1.22,0.0,13.0,0.0
"TEA,RTD,ARIZONA ICED TEA,W/ LEMON FLAVOR",39.0,0.0,9.77,0.0,4.0,0.0
"TEA,RTD,LIPTON BRISK ICED TEA,W/ LEMON FLAVOR",35.0,0.0,8.81,0.0,21.0,0.0
"WHISKEY SOUR MIX,BTLD,W/ K&NA",84.0,0.1,21.4,0.1,33.0,0.0
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14530",149.0,0.0,13.1,0.0,20.0,0.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",275.0,0.0,0.0,0.0,1.0,0.0
"ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF",295.0,0.0,0.0,0.0,1.0,0.0
"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",308.0,0.1,32.2,0.3,8.0,0.0
"ALCOHOLIC BEV,WINE,DSSRT,DRY",152.0,0.2,11.67,0.0,9.0,0.0
"CARBONATED BEV,LOCAL,OTHR THAN COLA OR PEP,W/ NA SAC,WO/ CAF",0.0,0.0,0.1,0.0,16.0,0.0
"COCOA MIX,W/ ASPT,LO CAL,PDR,W/ ADD CA P,WO/ ADD NA OR VIT A",359.0,25.1,58.0,3.0,653.0,0.0
"FRUIT PUNCH-FLAVOR DRK,PDR,WO/ NA,PREP W/H2O",37.0,0.0,9.47,0.01,7.0,0.0
"LEMONADE,FRZ CONC,PINK",192.0,0.22,48.86,0.69,4.0,0.0
"LEMONADE,FRZ CONC,PINK,PREP W/H2O",43.0,0.05,10.81,0.15,4.0,0.0
"TEA,BLACK,BREWED,PREP W/ DISTILLED H2O",1.0,0.0,0.3,0.0,0.0,0.0
"TEA,HERB,CHAMOMILE,BREWED",1.0,0.0,0.2,0.0,1.0,0.0
"TEA,INST,SWTND W/SUGAR,LEMON-FLAVORED,W/ VIT C,PDR",385.0,0.6,97.6,0.3,5.0,0.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",250.0,0.0,0.1,0.0,1.0,0.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",263.0,0.0,0.0,0.0,1.0,0.0
"CARBONATED BEV,CHOCOLATE-FLAVORED SODA",42.0,0.0,10.7,0.0,88.0,0.0
"WINE,NON-ALCOHOLIC",6.0,0.5,1.1,0.0,7.0,0.0
"WATER,BTLD,GENERIC",0.0,0.0,0.0,0.0,2.0,0.0
"CHOCOLATE-FLAVOR BEV MIX FOR MILK,PDR,W/ ADDED NUTR",400.0,4.55,90.28,2.27,136.0,0.0
"CHOCOLATE-FLAVOR BEV MIX W/ ADDED NUTR,PREP W/ WHL MILK",89.0,3.27,11.87,3.17,50.0,0.0
"WATER,BTLD,NON-CARBONATED,EVIAN",0.0,0.0,0.0,0.0,0.0,0.0
"SPORTS DRK,POWERADE ZERO ION4,CALORIE-FREE,ASSORTED FLAVORS",0.0,0.0,0.0,0.0,42.0,0.0
"TEA,RTD,UNSWTND,WENDY'S,FAST FD,WO/ ICE",1.0,0.22,0.0,0.0,3.0,0.0
"ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT",83.0,0.07,2.51,0.0,4.0,0.0
"WATER,NON-CARBONATED,FRUIT FLAVORS,SWTND W/ LO CAL SWTNR",1.0,0.0,0.15,0.0,3.0,0.0
"WATER W/ ADDED VITAMINS & MINERALS,SWTND, FRUIT FLAVORS",22.0,0.0,5.49,0.0,0.0,0.0
"BREAKFAST TYPE DRK,ORANGE FLAVOR,RED SUGAR",4.0,0.04,0.9,0.0,5.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,DIET BERRY BLEND",4.0,0.0,1.23,0.0,14.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,DIET FRUIT MEDLEY",4.0,0.0,1.26,0.0,13.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH,DIET STRAWBERRY KIWI",4.0,0.0,1.26,0.0,13.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH,DIET TROPICAL BLEND",4.0,0.0,1.26,0.0,15.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,BERRY BLEND",29.0,0.0,7.41,0.0,21.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,FRUIT MEDLEY",33.0,0.0,7.82,0.0,21.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC,GUAVA PASSION FRUIT",33.0,0.0,7.82,0.0,14.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,MANGO PEACH",33.0,0.0,8.23,0.0,16.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,ORANGE PNAPPL",29.0,0.0,7.41,0.0,21.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,ORCHARD BLEND",33.0,0.0,7.82,0.0,21.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,STRAWBERRY BANANA",29.0,0.0,7.41,0.0,21.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,STRAWBERRY KIWI",29.0,0.0,7.41,0.0,21.0,0.0
"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,TROPICAL BLEND",29.0,0.0,7.41,0.0,21.0,0.0
"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,PEACH MANGO",49.0,0.41,11.38,0.0,28.0,0.0
"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,STRAWBERRY BANANA",49.0,0.41,11.79,0.0,28.0,0.0
"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,TROPICAL",49.0,0.41,11.38,0.0,33.0,0.0
"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,ACAI BERRY",45.0,0.0,10.98,0.0,28.0,0.0
"COFFEE SUB,RSTD GRAIN BEV,NAT TOUCH KAFFREE ROMA,PDR",358.0,4.5,84.3,0.3,126.0,0.0
"ENERGY DRK,AMP",46.0,0.25,12.08,0.08,27.0,0.0
"ENERGY DRK,FULL THROTTLE",46.0,0.25,12.08,0.08,35.0,0.0
"ENERGY DRK,MONSTER",42.0,0.0,11.25,0.0,75.0,0.0
"ENERGY DRK,AMP,SUGAR FREE",2.0,0.0,1.03,0.0,31.0,0.0
"ENERGY DRK,ROCKSTAR",58.0,0.0,12.7,0.0,17.0,0.0
"ENERGY DRK,ROCKSTAR,SUGAR FREE",4.0,0.25,0.7,0.08,52.0,0.0
"HORCHATA,DRY MIX,UNPREP,VAR OF BRANDS,ALL W/ MORRO SEEDS",413.0,7.5,79.05,7.46,3.0,0.0
"MEAL SUPP DRK,NESTLE,SUPLIGEN,CND,PNUT FLAVOR",101.0,3.5,14.74,3.07,54.0,0.0
"VEGETABLE & FRUIT JUC DRK,RED CAL,ADDED VIT C",4.0,0.0,1.1,0.0,14.0,0.0
"READY-TO-DRINK RED FAT MILK,FLAV & SWTND,W/CA,VIT A & VIT D",77.0,3.05,12.08,1.83,49.0,0.0
"BEVERAGES,VEG & FRUIT JUC BLEND,W/ ADDED VITAMINS A,C,E",46.0,0.3,11.15,0.01,29.0,0.0
"BEVERAGES,FRUIT JUC DRK,RED SUGAR,W/ VITAMIN E ADDED",39.0,0.0,10.0,0.07,2.0,0.0
"WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV",18.0,0.0,4.5,0.0,8.0,0.0
"BEVERAGE,HORCHATA,AS SERVED IN RESTAURANT",54.0,0.48,11.52,0.71,14.0,0.0
"RICE DRK,UNSWTND,W/ ADDED CA,VITAMINS A & D",47.0,0.28,9.17,0.97,39.0,0.0
"ENERGY DRK,VAULT,CITRUS FLAVOR",49.0,0.0,12.99,0.0,12.0,0.0
"ENERGY DRK,VAULT ZERO,SUGAR-FREE,CITRUS FLAVOR",1.0,0.25,0.7,0.08,14.0,0.0
"SPORTS DRK,GATORADE G2,LO CAL",8.0,0.05,1.94,0.01,45.0,0.0
"FRUIT FLAV DRK,LESS THAN 3% JUC,NOT FORT W/ VIT C",64.0,0.0,16.03,0.0,36.0,0.0
"FRUIT FLAV DRK CONTAINING LESS THAN 3% FRUIT JUC,W/ HI VIT C",27.0,0.0,6.67,0.0,36.0,0.0
"FRUIT FLAV DRK,RED SUGAR,JUC,HI VIT C,ADDED CA",29.0,0.0,6.67,0.37,25.0,0.0
"FRUIT JUC DRK,OVER 3% FRUIT JUC,HI VIT C & ADDED THIAMIN",54.0,0.13,13.16,0.05,61.0,0.0
HIBISCUS TEA,37.0,0.43,7.41,0.65,3.0,0.0
"FRUIT JUC DRK,GREATER THAN 3% JUC,HI VIT C",46.0,0.13,11.35,0.11,8.0,0.0
"FRUIT-FLAVORED DRK,DRY PDR,LO CAL,W/ HI VIT C",200.0,0.0,88.79,0.0,0.0,0.0
"ANCHOVY,EUROPEAN,RAW",131.0,20.35,0.0,4.84,104.0,0.0
"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",210.0,28.89,0.0,9.71,3668.0,0.0
"BASS,FRSH H2O,MXD SP,RAW",114.0,18.86,0.0,3.69,70.0,0.0
"BASS,STRIPED,RAW",97.0,17.73,0.0,2.33,69.0,0.0
"BLUEFISH,RAW",124.0,20.04,0.0,4.24,60.0,0.0
"BURBOT,RAW",90.0,19.31,0.0,0.81,97.0,0.0
"BUTTERFISH,RAW",146.0,17.28,0.0,8.02,89.0,0.0
"CARP,RAW",127.0,17.83,0.0,5.6,49.0,0.0
"CARP,COOKED,DRY HEAT",162.0,22.86,0.0,7.17,63.0,0.0
"CATFISH,CHANNEL,WILD,RAW",95.0,16.38,0.0,2.82,43.0,0.0
"CATFISH,CHANNEL,CKD,BREADED&FRIED",229.0,18.09,8.04,13.33,280.0,0.0
CAVIAR,264.0,24.6,4.0,17.9,1500.0,0.0
"CISCO,RAW",98.0,18.99,0.0,1.91,55.0,0.0
"CISCO,SMOKED",177.0,16.36,0.0,11.9,481.0,0.0
"COD,ATLANTIC,RAW",82.0,17.81,0.0,0.67,54.0,0.0
"COD,ATLANTIC,CKD,DRY HEAT",105.0,22.83,0.0,0.86,78.0,0.0
"COD,ATLANTIC,CND,SOL&LIQ",105.0,22.76,0.0,0.86,218.0,0.0
"COD,ATLANTIC,DRIED&SALTED",290.0,62.82,0.0,2.37,7027.0,0.0
"COD,PACIFIC,RAW",69.0,15.27,0.0,0.41,303.0,0.0
"CROAKER,ATLANTIC,RAW",104.0,17.78,0.0,3.17,56.0,0.0
"CROAKER,ATLANTIC,CKD,BREADED&FRIED",221.0,18.2,7.54,12.67,348.0,0.0
"CUSK,RAW",87.0,18.99,0.0,0.69,31.0,0.0
"DOLPHINFISH,RAW",85.0,18.5,0.0,0.7,88.0,0.0
"DRUM,FRESHWATER,RAW",119.0,17.54,0.0,4.93,75.0,0.0
"EEL,MIXED SPECIES,RAW",184.0,18.44,0.0,11.66,51.0,0.0
"EEL,MXD SP,CKD,DRY HEAT",236.0,23.65,0.0,14.95,65.0,0.0
"FISH PORTIONS&STKS,FRZ,PREHTD",249.0,11.04,21.18,13.25,421.0,0.0
"FLATFISH (FLOUNDER&SOLE SP),RAW",70.0,12.41,0.0,1.93,296.0,0.0
"FLATFISH (FLOUNDER&SOLE SP),CKD,DRY HEAT",86.0,15.24,0.0,2.37,363.0,0.0
"GEFILTEFISH,COMM,SWT RECIPE",84.0,9.07,7.41,1.73,524.0,0.0
"GROUPER,MIXED SPECIES,RAW",92.0,19.38,0.0,1.02,53.0,0.0
"GROUPER,MXD SP,CKD,DRY HEAT",118.0,24.84,0.0,1.3,53.0,0.0
"HADDOCK,RAW",74.0,16.32,0.0,0.45,213.0,0.0
"HADDOCK,COOKED,DRY HEAT",90.0,19.99,0.0,0.55,261.0,0.0
"HADDOCK,SMOKED",116.0,25.23,0.0,0.96,763.0,0.0
"HALIBUT,ATLANTIC&PACIFIC,RAW",91.0,18.56,0.0,1.33,68.0,0.0
"HALIBUT,ATLANTIC&PACIFIC,CKD,DRY HEAT",111.0,22.54,0.0,1.61,82.0,0.0
"HALIBUT,GREENLAND,RAW",186.0,14.37,0.0,13.84,80.0,0.0
"HERRING,ATLANTIC,RAW",158.0,17.96,0.0,9.04,90.0,0.0
"HERRING,ATLANTIC,CKD,DRY HEAT",203.0,23.03,0.0,11.59,115.0,0.0
"HERRING,ATLANTIC,PICKLED",262.0,14.19,9.64,18.0,870.0,0.0
"HERRING,ATLANTIC,KIPPERED",217.0,24.58,0.0,12.37,918.0,0.0
"HERRING,PACIFIC,RAW",195.0,16.39,0.0,13.88,74.0,0.0
"LING,RAW",87.0,18.99,0.0,0.64,135.0,0.0
"LINGCOD,RAW",85.0,17.66,0.0,1.06,59.0,0.0
"MACKEREL,ATLANTIC,RAW",205.0,18.6,0.0,13.89,90.0,0.0
"MACKEREL,ATLANTIC,CKD,DRY HEAT",262.0,23.85,0.0,17.81,83.0,0.0
"MACKEREL,JACK,CND,DRND SOL",156.0,23.19,0.0,6.3,379.0,0.0
"MACKEREL,KING,RAW",105.0,20.28,0.0,2.0,158.0,0.0
"MACKEREL,PACIFIC&JACK,MXD SP,RAW",158.0,20.07,0.0,7.89,86.0,0.0
"MACKEREL,SPANISH,RAW",139.0,19.29,0.0,6.3,59.0,0.0
"MACKEREL,SPANISH,CKD,DRY HEAT",158.0,23.59,0.0,6.32,66.0,0.0
"MILKFISH,RAW",148.0,20.53,0.0,6.73,72.0,0.0
"MONKFISH,RAW",76.0,14.48,0.0,1.52,18.0,0.0
"MULLET,STRIPED,RAW",117.0,19.35,0.0,3.79,65.0,0.0
"MULLET,STRIPED,CKD,DRY HEAT",150.0,24.81,0.0,4.86,71.0,0.0
"OCEAN PERCH,ATLANTIC,RAW",79.0,15.31,0.0,1.54,287.0,0.0
"OCEAN PERCH,ATLANTIC,CKD,DRY HEAT",96.0,18.51,0.0,1.87,347.0,0.0
"POUT,OCEAN,RAW",79.0,16.64,0.0,0.91,61.0,0.0
"PERCH,MIXED SPECIES,RAW",91.0,19.39,0.0,0.92,62.0,0.0
"PERCH,MXD SP,CKD,DRY HEAT",117.0,24.86,0.0,1.18,79.0,0.0
"PIKE,NORTHERN,RAW",88.0,19.26,0.0,0.69,39.0,0.0
"PIKE,NORTHERN,CKD,DRY HEAT",113.0,24.69,0.0,0.88,49.0,0.0
"PIKE,WALLEYE,RAW",93.0,19.14,0.0,1.22,51.0,0.0
"POLLOCK,ATLANTIC,RAW",92.0,19.44,0.0,0.98,86.0,0.0
"POLLOCK,WALLEYE,RAW",56.0,12.19,0.0,0.41,333.0,0.0
"POLLOCK,WALLEYE,CKD,DRY HEAT",111.0,23.48,0.0,1.18,419.0,0.0
"POMPANO,FLORIDA,RAW",164.0,18.48,0.0,9.47,65.0,0.0
"POMPANO,FLORIDA,CKD,DRY HEAT",211.0,23.69,0.0,12.14,76.0,0.0
"ROCKFISH,PACIFIC,MXD SP,RAW",90.0,18.36,0.0,1.34,74.0,0.0
"ROCKFISH,PACIFIC,MXD SP,CKD,DRY HEAT",109.0,22.23,0.0,1.62,89.0,0.0
"ROE,MIXED SPECIES,RAW",143.0,22.32,1.5,6.42,91.0,0.0
"ROUGHY,ORANGE,RAW",76.0,16.41,0.0,0.7,72.0,0.0
"SABLEFISH,RAW",195.0,13.41,0.0,15.3,56.0,0.0
"SABLEFISH,SMOKED",257.0,17.65,0.0,20.14,737.0,0.0
"SALMON,ATLANTIC,WILD,RAW",142.0,19.84,0.0,6.34,44.0,0.0
"SALMON,CHINOOK,SMOKED",117.0,18.28,0.0,4.32,784.0,0.0
"SALMON,CHINOOK,RAW",179.0,19.93,0.0,10.43,47.0,0.0
"SALMON,CHUM,RAW",120.0,20.14,0.0,3.77,50.0,0.0
"FISH,SALMON,CHUM,CND,DRND SOL W/ BONE",141.0,21.43,0.0,5.5,487.0,0.0
"SALMON,COHO,WILD,RAW",146.0,21.62,0.0,5.93,46.0,0.0
"SALMON,COHO,WILD,CKD,MOIST HEAT",184.0,27.36,0.0,7.5,53.0,0.0
"SALMON,PINK,RAW",127.0,20.5,0.0,4.4,75.0,0.0
"FISH,SALMON,PINK,CND,TOTAL CAN CONTENTS",129.0,19.68,0.0,4.97,403.0,0.0
"SALMON,SOCKEYE,RAW",142.0,21.31,0.0,5.61,112.0,0.0
"SALMON,SOCKEYE,CKD,DRY HEAT",169.0,25.4,0.0,6.69,134.0,0.0
"FISH,SALMON,SOCKEYE,CND,DRND SOL",167.0,23.59,0.0,7.39,408.0,0.0
"SARDINE,ATLANTIC,CND IN OIL,DRND SOL W/BONE",208.0,24.62,0.0,11.45,505.0,0.0
"SARDINE,PACIFIC,CND IN TOMATO SAU,DRND SOL W/BONE",185.0,20.86,0.54,10.45,414.0,0.0
"SCUP,RAW",105.0,18.88,0.0,2.73,42.0,0.0
"SEA BASS,MXD SP,RAW",97.0,18.43,0.0,2.0,68.0,0.0
"SEA BASS,MXD SP,CKD,DRY HEAT",124.0,23.63,0.0,2.56,87.0,0.0
"SEATROUT,MXD SP,RAW",104.0,16.74,0.0,3.61,58.0,0.0
"SHAD,AMERICAN,RAW",197.0,16.93,0.0,13.77,51.0,0.0
"SHARK,MIXED SPECIES,RAW",130.0,20.98,0.0,4.51,79.0,0.0
"SHARK,MXD SP,CKD,BATTER-DIPPED&FRIED",228.0,18.62,6.39,13.82,122.0,0.0
"SHEEPSHEAD,RAW",108.0,20.21,0.0,2.41,71.0,0.0
"SHEEPSHEAD,CKD,DRY HEAT",126.0,26.02,0.0,1.63,73.0,0.0
"SMELT,RAINBOW,RAW",97.0,17.63,0.0,2.42,60.0,0.0
"SMELT,RAINBOW,CKD,DRY HEAT",124.0,22.6,0.0,3.1,77.0,0.0
"SNAPPER,MIXED SPECIES,RAW",100.0,20.51,0.0,1.34,64.0,0.0
"SNAPPER,MXD SP,CKD,DRY HEAT",128.0,26.3,0.0,1.72,57.0,0.0
"SPOT,RAW",123.0,18.51,0.0,4.9,29.0,0.0
"STURGEON,MXD SP,RAW",105.0,16.14,0.0,4.04,54.0,0.0
"STURGEON,MXD SP,CKD,DRY HEAT",135.0,20.7,0.0,5.18,69.0,0.0
"STURGEON,MXD SP,SMOKED",173.0,31.2,0.0,4.4,739.0,0.0
"SUCKER,WHITE,RAW",92.0,16.76,0.0,2.32,40.0,0.0
"SUNFISH,PUMPKIN SEED,RAW",89.0,19.4,0.0,0.7,80.0,0.0
SURIMI,99.0,15.18,6.85,0.9,143.0,0.0
"SWORDFISH,RAW",144.0,19.66,0.0,6.65,81.0,0.0
"SWORDFISH,COOKED,DRY HEAT",172.0,23.45,0.0,7.93,97.0,0.0
"TILEFISH,RAW",96.0,17.5,0.0,2.31,53.0,0.0
"TILEFISH,COOKED,DRY HEAT",147.0,24.49,0.0,4.69,59.0,0.0
"TROUT,MIXED SPECIES,RAW",148.0,20.77,0.0,6.61,52.0,0.0
"TROUT,RAINBOW,WILD,RAW",119.0,20.48,0.0,3.46,31.0,0.0
"TROUT,RAINBOW,WILD,CKD,DRY HEAT",150.0,22.92,0.0,5.82,56.0,0.0
"TUNA,FRESH,BLUEFIN,RAW",144.0,23.33,0.0,4.9,39.0,0.0
"TUNA,FRSH,BLUEFIN,CKD,DRY HEAT",184.0,29.91,0.0,6.28,50.0,0.0
"TUNA,LT,CND IN OIL,DRND SOL",198.0,29.13,0.0,8.21,354.0,0.0
"TUNA,LT,CND IN H2O,DRND SOL",116.0,25.51,0.0,0.82,338.0,0.0
"TUNA,FRESH,SKIPJACK,RAW",103.0,22.0,0.0,1.01,37.0,0.0
"TUNA,WHITE,CND IN OIL,DRND SOL",186.0,26.53,0.0,8.08,396.0,0.0
"TUNA,WHITE,CND IN H2O,DRND SOL",128.0,23.62,0.0,2.97,377.0,0.0
"TUNA,FRESH,YELLOWFIN,RAW",109.0,24.4,0.0,0.49,45.0,0.0
TUNA SALAD,187.0,16.04,9.41,9.26,402.0,0.0
"TURBOT,EUROPEAN,RAW",95.0,16.05,0.0,2.95,150.0,0.0
"WHITEFISH,MXD SP,RAW",134.0,19.09,0.0,5.86,51.0,0.0
"WHITEFISH,MXD SP,SMOKED",108.0,23.4,0.0,0.93,1019.0,0.0
"WHITING,MIXED SPECIES,RAW",90.0,18.31,0.0,1.31,72.0,0.0
"WHITING,MXD SP,CKD,DRY HEAT",116.0,23.48,0.0,1.69,132.0,0.0
"WOLFFISH,ATLANTIC,RAW",96.0,17.5,0.0,2.39,85.0,0.0
"YELLOWTAIL,MXD SP,RAW",146.0,23.14,0.0,5.24,39.0,0.0
"CRAB,ALASKA KING,RAW",84.0,18.29,0.0,0.6,836.0,0.0
"CRAB,ALASKA KING,CKD,MOIST HEAT",97.0,19.35,0.0,1.54,1072.0,0.0
"CRAB,ALASKA KING,IMITN,MADE FROM SURIMI",95.0,7.62,15.0,0.46,841.0,0.0
"CRAB,BLUE,RAW",87.0,18.06,0.04,1.08,293.0,0.0
"CRAB,BLUE,CKD,MOIST HEAT",83.0,17.88,0.0,0.74,395.0,0.0
"CRAB,BLUE,CANNED",83.0,17.88,0.0,0.74,395.0,0.0
"CRAB,BLUE,CRAB CAKES",155.0,20.21,0.48,7.52,330.0,0.0
"CRAB,DUNGENESS,RAW",86.0,17.41,0.74,0.97,295.0,0.0
"CRAB,QUEEN,RAW",90.0,18.5,0.0,1.18,539.0,0.0
"CRAYFISH,MXD SP,WILD,RAW",77.0,15.97,0.0,0.95,58.0,0.0
"CRAYFISH,MXD SP,WILD,CKD,MOIST HEAT",82.0,16.77,0.0,1.2,94.0,0.0
"LOBSTER,NORTHERN,RAW",77.0,16.52,0.0,0.75,423.0,0.0
"LOBSTER,NORTHERN,CKD,MOIST HEAT",89.0,19.0,0.0,0.86,486.0,0.0
"SHRIMP,MIXED SPECIES,RAW",71.0,13.61,0.91,1.01,566.0,0.0
"SHRIMP,MXD SP,CKD,BREADED&FRIED",242.0,21.39,11.47,12.28,344.0,0.0
"SHRIMP,MXD SP,CKD,MOIST HEAT",119.0,22.78,1.52,1.7,947.0,0.0
"SHRIMP,MXD SP,CND",100.0,20.42,0.0,1.36,777.0,0.0
"SHRIMP,MXD SP,IMITN,MADE FROM SURIMI",101.0,12.39,9.13,1.47,705.0,0.0
"SPINY LOBSTER,MXD SP,RAW",112.0,20.6,2.43,1.51,177.0,0.0
"ABALONE,MIXED SPECIES,RAW",105.0,17.1,6.01,0.76,301.0,0.0
"ABALONE,MXD SP,CKD,FRIED",189.0,19.63,11.05,6.78,591.0,0.0
"CLAM,MIXED SPECIES,RAW",86.0,14.67,3.57,0.96,601.0,0.0
"CLAM,MXD SP,CKD,BREADED&FRIED",202.0,14.24,10.33,11.15,364.0,0.0
"CLAM,MXD SP,CKD,MOIST HEAT",148.0,25.55,5.13,1.95,1202.0,0.0
"CLAM,MXD SP,CND,DRND SOL",142.0,24.25,5.9,1.59,112.0,0.0
"CLAM,MXD SP,CND,LIQ",2.0,0.4,0.1,0.02,215.0,0.0
"CUTTLEFISH,MXD SP,RAW",79.0,16.24,0.82,0.7,372.0,0.0
"MUSSEL,BLUE,RAW",86.0,11.9,3.69,2.24,286.0,0.0
"MUSSEL,BLUE,CKD,MOIST HEAT",172.0,23.8,7.39,4.48,369.0,0.0
"OCTOPUS,COMMON,RAW",82.0,14.91,2.2,1.04,230.0,0.0
"OYSTER,EASTERN,WILD,RAW",51.0,5.71,2.72,1.71,85.0,0.0
"OYSTER,EASTERN,CKD,BREADED&FRIED",199.0,8.77,11.62,12.58,417.0,0.0
"OYSTER,EASTERN,WILD,CKD,MOIST HEAT",102.0,11.42,5.45,3.42,166.0,0.0
