food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g,calorie_density,protein_ratio,carbs_ratio,fats_ratio,sugar_ratio
"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,3.37,4.96,0.08,42.0,0.0,0.34,9.91176441435987,14.588234865051916,0.23529411072664383,0.0
"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37.0,3.57,5.02,0.25,53.0,0.0,0.37,9.648648387874369,13.567567200876562,0.6756756574141715,0.0
"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41.0,3.96,5.56,0.25,59.0,0.0,0.41,9.658536349791797,13.560975279000603,0.609756082688876,0.0
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40.0,3.31,4.79,0.88,105.0,0.0,0.4,8.274999793125005,11.974999700625007,2.1999999450000014,0.0
"MILK,LO NA,FLUID",61.0,3.1,4.46,3.46,3.0,0.0,0.61,5.081967129803818,7.311475289975815,5.672131054555229,0.0
"MILK,DRY,WHL,W/ ADDED VITAMIN D",496.0,26.32,38.42,26.71,371.0,0.0,4.96,5.306451602204735,7.745967726318614,5.385080634304273,0.0
"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362.0,36.16,51.98,0.77,535.0,0.0,3.62,9.988950248649306,14.35911598243338,0.2127071817328531,0.0
"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358.0,35.1,52.19,0.72,549.0,0.0,3.58,9.804469246356232,14.57821224978153,0.20111731787397397,0.0
"MILK,DRY,NONFAT,CA RED",354.0,35.5,51.8,0.2,2280.0,0.0,3.54,10.028248559242234,14.632768320246416,0.05649717498164641,0.0
"MILK,BUTTERMILK,DRIED",387.0,34.3,49.0,5.78,517.0,0.0,3.87,8.8630490727053,12.661498675293284,1.49354004782031,0.0
"MILK,CND,COND,SWTND",321.0,7.91,54.4,8.7,127.0,0.0,3.21,2.4641744471521045,16.947040445647847,2.7102803653885346,0.0
"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134.0,6.81,10.04,7.56,106.0,0.0,1.34,5.082089514312765,7.492537257518378,5.641791002673202,0.0
"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78.0,7.55,11.35,0.2,115.0,0.0,0.78,9.679487055391192,14.551281864727155,0.2564102531229455,0.0
"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83.0,3.17,10.34,3.39,60.0,0.0,0.83,3.8192770624183483,12.457831175206852,4.084337300188707,0.0
"MILK,CHOC,FLUID,COMM,RED FAT",76.0,2.99,12.13,1.9,66.0,0.0,0.76,3.9342104745498623,15.960526105782552,2.4999999671052637,0.0
"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",63.0,3.24,10.44,1.0,61.0,0.0,0.63,5.1428570612244915,16.571428308390026,1.5873015621063242,0.0
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77.0,3.52,10.74,2.34,44.0,0.0,0.77,4.57142851205937,13.94805176690842,3.0389609994940128,0.0
"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69.0,3.56,4.45,4.14,50.0,0.0,0.69,5.159420215080867,6.449275268851083,5.999999913043479,0.0
"MILK,HUMAN,MATURE,FLUID",70.0,1.03,6.89,4.38,17.0,0.0,0.7,1.4714285504081637,9.8428570022449,6.257142767755103,0.0
"MILK,INDIAN BUFFALO,FLUID",97.0,3.75,5.18,6.89,52.0,0.0,0.97,3.865979341587842,5.340206130513338,7.103092710277395,0.0
"MILK,SHEEP,FLUID",108.0,5.98,5.36,7.0,44.0,0.0,1.08,5.537036985768177,4.962962917009603,6.481481421467765,0.0
"MILK SHAKES,THICK CHOC",119.0,3.05,21.15,2.7,111.0,0.0,1.19,2.5630251885460065,17.77310909434362,2.2689075439587603,0.0
"MILK SHAKES,THICK VANILLA",112.0,3.86,17.75,3.03,95.0,0.0,1.12,3.446428540656888,15.848214144212374,2.7053571187021683,0.0
